Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor
AMST,277,001,14132,AMERICA GLOBAL ENVIRONMENT,3,TuTh,11:00 - 12:15,Carolina Hall RBuilding,0220,"WILLIS,RACHEL"
AMST,284,002,15047,VISUAL CULTURE,3,MW,14:30 - 15:20,Mitchell RBuilding,0005,Staff
AMST,284,603,15108,VISUAL CULTURE Recitation 3 A (In Person On Campus Learners),3,F,14:30 - 15:20,Dey Hall RBuilding,0402,"Wheeler,Shannon Jane"
AMST,339,001,14134,LONG 1960S IN NATIVE AMERICA,3,MW,13:25 - 14:15,Murphey RBuilding,0112,"COBB,DANIEL M"
AMST,365,001,14698,WOMEN AND DETECTIVE FICTION,3,MWF,09:05 - 09:55,Peabody RBuilding,2094,"ROBINSON,MIRIAM MICHELLE"
AMST,396,001,5875,INDEP STDY AMST,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,396,002,10000,INDEP STDY AMST,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,396,003,10022,INDEP STDY AMST,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,396,004,11027,INDEP STDY AMST,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,486,001,14696,JEWISH SOUTH,3,MW,15:35 - 16:50,Alumni RBuilding,0205,"FERRIS,MARCIE C"
AMST,493,001,5305,INTERNSHIP,1,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,498,001,14695,ADV SEMINAR IN AMER STUDIES,3,Th,15:30 - 18:30,Carolina Hall RBuilding,0104,"Alexander,Kelly"
AMST,510,002,15033,FEDERAL INDIAN LAW & POLICY,3,TuTh,12:30 - 13:45,Dey Hall RBuilding,0202,"RICHOTTE Jr,KEITH S"
AMST,641,001,14137,COMMUNICATING WATER CHALLENGES,3,TuTh,14:00 - 15:15,Carolina Hall RBuilding,0104,"WILLIS,RACHEL"
AMST,701,001,4235,INTERDISC RESEARCH,3,W,15:35 - 18:35,Wilson RBuilding,0139,"MARR,TIMOTHY W"
AMST,795,001,5955,DIGITAL HUMANITIES FIELD EXP,1,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,895,001,4392,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,"Berlinger,Gabrielle Anna"
AMST,895,002,4411,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,895,003,4792,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,895,004,5235,DIRECTED READINGS,3,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,900,001,4827,DIRECTED STUDIES,0,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,900,002,10760,DIRECTED STUDIES,0,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,900,003,10792,DIRECTED STUDIES,0,TBA,TBA,TBA RBuilding,TBA,Staff
AMST,900,004,11036,DIRECTED STUDIES,0,TBA,TBA,TBA RBuilding,TBA,Staff
