Subject,Catalog Number,Section,Class Number,Title,Units,Days,Time,Building,Room Number,Instructor,Missing Attributes
PHYS,118,505,7126,MECHANICS AND RELATIVITY Lab 4 A (In Person On Campus Learners),4,TuTh,08:00 - 09:50,Phillips Hall,208,"JEGLINSKI,STEFAN",FALSE
PHYS,119,1,7499,ELECTROMAGNETISM AND QUANTA,4,MWF,09:05 - 09:55,Phillips Hall,215,"Weinberg-Wolf,Jennifer R.",FALSE
PHYS,119,503,7502,ELECTROMAGNETISM AND QUANTA Lab 4 A (In Person On Campus Learners),3,MW,14:30 - 16:20,Phillips Hall,206,"Weinberg-Wolf,Jennifer R.",FALSE
PHYS,295,1,7140,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,2,7141,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,3,7142,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,4,7143,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,5,7144,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,6,7145,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,7,7146,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,8,7147,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,9,7148,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,10,7149,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,11,7150,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,12,7367,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,13,8586,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,14,8587,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,15,8588,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,16,8589,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,17,8590,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
PHYS,295,18,8591,RESEARCH WITH FACULTY I,1,TBA,TBA,TBA,TBA,Staff,FALSE
